periodo,idnoremp,ciiu4,idact,seccion,gastos_tot,gasprogesamb,actinv1,actinv2,actinv3,actinv4,actinv5,actinv6,actinv7,actinv8,actgast1,actgast2,actgast3,actgast4,actgast5,actgast6,actgast7,actgast8,actgast9,actnom,persamb,idnorempan,fuen_ag_tot,wtoteconsum
2020,12366.0,5222.0,6332.0,H1 Auxiliares del transporte,136971770,1908989,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,,,,,
2020,10017.0,5222.0,6332.0,H1 Auxiliares del transporte,136971770,1908989,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,,,,,
2020,12283.0,5223.0,6333.0,H1 Auxiliares del transporte,136971771,1908990,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,,,,,
2020,14588.0,5223.0,6333.0,H1 Auxiliares del transporte,32549555,760566,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,,,,,
2020,12790.0,5223.0,6333.0,H1 Auxiliares del transporte,27354483,651317,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,,,,,
2020,18195.0,5223.0,6333.0,H1 Auxiliares del transporte,15846189,606237,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,,,,,
2020,13646.0,5222.0,6332.0,H1 Auxiliares del transporte,93854957,495574,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,,,,,
2020,15093.0,5222.0,6332.0,H1 Auxiliares del transporte,14758560,489657,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,,,,,
2020,13350.0,5222.0,6332.0,H1 Auxiliares del transporte,215933508,488764,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,,,,,
2020,10210.0,5222.0,6332.0,H1 Auxiliares del transporte,22938506,473211,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,,,,,
2020,15073.0,5222.0,6332.0,H1 Auxiliares del transporte,39220103,430665,0,1,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,,,,,
2020,10436.0,5210.0,6320.0,H1 Auxiliares del transporte,55348234,417347,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,,,
2020,15102.0,5224.0,6310.0,H1 Auxiliares del transporte,8948713,407140,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,,,,,
2020,18513.0,5210.0,6320.0,H1 Auxiliares del transporte,10862696,376394,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,,,,,
2020,18156.0,5222.0,6332.0,H1 Auxiliares del transporte,18584344,343240,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,,,,,
2020,18483.0,5222.0,6332.0,H1 Auxiliares del transporte,118859276,338401,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,,,,,
2020,15074.0,5222.0,6332.0,H1 Auxiliares del transporte,73025387,306266,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,,,,,
2020,10273.0,5223.0,6333.0,H1 Auxiliares del transporte,24964465,303325,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,,,,,
2020,17974.0,5222.0,6332.0,H1 Auxiliares del transporte,28695691,276438,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,,,,,
2020,14253.0,5210.0,6320.0,H1 Auxiliares del transporte,22632157,264000,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,,,,,
2020,13349.0,5222.0,6332.0,H1 Auxiliares del transporte,10181803,263894,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,
2020,14683.0,5224.0,6310.0,H1 Auxiliares del transporte,23400253,248328,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,,,,,
